№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
1,van,lenni,Ő most az iskolában van.,"быть, находиться",Он сейчас в школе.,0001_van_m.mp3
2,tud,tudni,Nem tudok jól úszni.,"уметь, мочь; знать",Я не умею хорошо плавать.,0002_tud_m.mp3
3,lesz,lenni,Holnap otthon leszünk egész nap.,"будет, станет",Завтра мы будем дома весь день.,0003_lesz_m.mp3
4,kell,kelleni,Holnap korán kell kelnem.,"нужно, надо",Завтра мне нужно рано вставать.,0004_kell_m.mp3
5,mond,mondani,Mindig igazat mondok neked.,говорить / сказать,Я всегда говорю тебе правду.,0005_mond_m.mp3
6,akar,akarni,Ma este pizzát akarok enni.,хотеть,Сегодня вечером я хочу съесть пиццу.,0006_akar_m.mp3
7,jön,jönni,Holnap busszal jövök az iskolába.,приходить / приезжать,Завтра я приеду в школу на автобусе.,0007_jon_m.mp3
8,megy,menni,Holnap moziba megyek a barátommal.,"идти, ехать",Завтра я иду в кино с другом.,0008_megy_m.mp3
9,fog,fogni,Erősen fogom a kezedet.,"хватать, держать; вспом. глагол буд. времени",Я крепко держу твою руку.,0009_fog_m.mp3
10,lát,látni,Innen jól látom a tengert.,видеть,Отсюда я хорошо вижу море.,0010_lat_m.mp3
11,hisz,hinni,Nem hiszek neked.,верю,Я тебе не верю.,0011_hisz_m.mp3
12,tesz,tenni,A kulcsot mindig az asztalra teszem.,"класть, ставить; делать",Я всегда кладу ключ на стол.,0012_tesz_m.mp3
13,csinál,csinálni,Most a házi feladatomat csinálom.,делать / сделать,Сейчас я делаю свою домашнюю работу.,0013_csinal_m.mp3
14,szeret,szeretni,Nagyon szeretem a meleg nyári estéket.,любить,Я очень люблю тёплые летние вечера.,0014_szeret_m.mp3
15,nincs,lenni,Ma nincs időm a boltba menni.,"нет, не имеется",Сегодня у меня нет времени идти в магазин.,0015_nincs_m.mp3
16,néz,nézni,Este szívesen nézek filmet.,смотреть,Вечером я с удовольствием смотрю фильм.,0016_nez_m.mp3
