№,Ige (HU),Infinitivus,Példamondat (HU),Verb (EN),Sentence (EN),Audio
1,van,lenni,Ő most az iskolában van.,to be,She is at school right now.,0001_van_m.mp3
2,tud,tudni,Nem tudok jól úszni.,"to be able to, can",I can't swim well.,0002_tud_m.mp3
3,lesz,lenni,Holnap otthon leszünk egész nap.,to be (future),We'll be home all day tomorrow.,0003_lesz_m.mp3
4,kell,kelleni,Holnap korán kell kelnem.,"to need to, must",I have to get up early tomorrow.,0004_kell_m.mp3
5,mond,mondani,Mindig igazat mondok neked.,"to tell, to say",I always tell you the truth.,0005_mond_m.mp3
6,akar,akarni,Ma este pizzát akarok enni.,to want,I want to eat pizza tonight.,0006_akar_m.mp3
7,jön,jönni,Holnap busszal jövök az iskolába.,"to come, to arrive",Tomorrow I'm coming to school by bus.,0007_jon_m.mp3
8,megy,menni,Holnap moziba megyek a barátommal.,to go,Tomorrow I'm going to the cinema with my friend.,0008_megy_m.mp3
9,fog,fogni,Erősen fogom a kezedet.,"to hold, to grasp",I'm holding your hand tightly.,0009_fog_m.mp3
10,lát,látni,Innen jól látom a tengert.,to see,I see the sea clearly from here.,0010_lat_m.mp3
11,hisz,hinni,Nem hiszek neked.,to believe,I don't believe you.,0011_hisz_m.mp3
12,tesz,tenni,A kulcsot mindig az asztalra teszem.,"to put, to place",I always put the key on the table.,0012_tesz_m.mp3
13,csinál,csinálni,Most a házi feladatomat csinálom.,to do,I'm doing my homework right now.,0013_csinal_m.mp3
14,szeret,szeretni,Nagyon szeretem a meleg nyári estéket.,"to love, to like",I really love warm summer evenings.,0014_szeret_m.mp3
15,nincs,lenni,Ma nincs időm a boltba menni.,to not have / there is no,I don't have time to go to the shop today.,0015_nincs_m.mp3
16,néz,nézni,Este szívesen nézek filmet.,to watch,I like watching a film in the evening.,0016_nez_m.mp3
17,kér,kérni,"Kérek egy pohár vizet, legyen szíves.",to ask for,"I'd like to ask for a glass of water, please.",0017_ker_m.mp3
18,beszél,beszélni,Jól beszélek magyarul.,to speak,I speak Hungarian well.,0018_beszel_m.mp3
19,gondol,gondolni,Gyakran gondolok a nyaralásra.,to think about,I often think about holidays.,0019_gondol_m.mp3
20,ért,érteni,Most már jól értem a feladatot.,to understand,I understand the task well now.,0020_ert_m.mp3
21,vár,várni,A buszra várok a megállóban.,to wait (for),I'm waiting for the bus at the stop.,0021_var_m.mp3
22,köszön,köszönni,Reggel mindig köszönök a szomszédoknak.,"to say hello, to greet",I always say hello to the neighbors in the morning.,0022_koszon_m.mp3
23,ad,adni,Most adok neked egy pohár vizet.,to give,I'm giving you a glass of water right now.,0023_ad_m.mp3
24,vesz,venni,Reggel mindig veszek friss kenyeret.,to buy,I always buy fresh bread in the morning.,0024_vesz_m.mp3
25,hagy,hagyni,A kulcsot az asztalon hagytam.,to leave (behind),I left the key on the table.,0025_hagy_m.mp3
26,áll,állni,A buszmegállóban állok és várok.,to stand,I'm standing at the bus stop and waiting.,0026_all_m.mp3
27,tart,tartani,A film két óráig tart.,"to last, to run",The movie lasts two hours.,0027_tart_m.mp3
28,talál,találni,Mindig találok jó könyveket a könyvtárban.,to find,I always find good books at the library.,0028_talal_m.mp3
29,marad,maradni,Ma este otthon maradok.,to stay,I'm staying home tonight.,0029_marad_m.mp3
30,hív,hívni,Este mindig hívlak telefonon.,to call,I always call you on the phone in the evening.,0030_hiv_m.mp3
31,hall,hallani,Jól hallak a telefonon.,to hear,I can hear you well on the phone.,0031_hall_m.mp3
32,sajnál,sajnálni,Nagyon sajnálom ezt a hibát.,"to be sorry, to regret",I'm very sorry about this mistake.,0032_sajnal_m.mp3
33,kap,kapni,Minden reggel friss kenyeret kapok a boltban.,"to get, to receive",Every morning I get fresh bread at the shop.,0033_kap_m.mp3
34,érez,érezni,Ma reggel nagyon jól érzem magam.,to feel,I feel really good this morning.,0034_erez_m.mp3
35,segít,segíteni,Szívesen segítek neked holnap.,to help,I'll gladly help you tomorrow.,0035_segit_m.mp3
36,hoz,hozni,Mindig hozok ajándékot a buliba.,to bring,I always bring a gift to the party.,0036_hoz_m.mp3
37,ismer,ismerni,Jól ismerem ezt a várost.,"to know, to be familiar with",I know this city well.,0037_ismer_m.mp3
38,figyel,figyelni,Most figyelek a tanárra.,"to pay attention, to listen carefully",I'm paying attention to the teacher right now.,0038_figyel_m.mp3
39,dolgozik,dolgozni,Egy nagy gyárban dolgozom.,to work,I work in a big factory.,0039_dolgozik_m.mp3
40,él,élni,Egy kis faluban élek.,to live,I live in a small village.,0040_el_m.mp3
41,találkozik,találkozni,Holnap találkozunk a kávézóban.,to meet up,Tomorrow we're meeting up at the café.,0041_talalkozik_m.mp3
42,próbál,próbálni,Ma este próbálunk korán lefeküdni.,to try,Tonight we're trying to go to bed early.,0042_probal_m.mp3
43,keres,keresni,A munkámmal jól keresek.,to earn,I earn good money at my job.,0043_keres_m.mp3
44,tűnik,tűnni,Ma nagyon fáradtnak tűnsz.,"to seem, to look",You look very tired today.,0044_tunik_m.mp3
45,szól,szólni,A telefonom most szól a táskában.,to ring,My phone is ringing in my bag right now.,0045_szol_m.mp3
46,kezd,kezdeni,Reggel mindig kávéval kezdem a napot.,to start,In the morning I always start my day with coffee.,0046_kezd_m.mp3
47,elmegy,elmenni,Holnap reggel elmegyek a boltba.,"to go, to head out",Tomorrow morning I'm going to the shop.,0047_elmegy_m.mp3
48,meghal,meghalni,Majdnem meghaltam a nevetéstől.,to die,I almost died laughing.,0048_meghal_m.mp3
49,jelent,jelenteni,"Ez a szó magyarul „víz""-et jelent.",to mean,"This word means ""water"" in Hungarian.",0049_jelent_m.mp3
50,visz,vinni,Holnap viszek egy könyvet a barátomnak.,"to bring, to take",Tomorrow I'm taking a book to my friend.,0050_visz_m.mp3
51,lehet,lehetni,Itt nem lehet parkolni.,to be possible; to be allowed,You can't park here.,0051_lehet_m.mp3
52,jár,járni,Minden reggel gyalog járok dolgozni.,"to go, to walk",Every morning I walk to work.,0052_jar_m.mp3
53,megöl,megölni,Tegnap megöltem egy farkast.,to kill,Yesterday I killed a wolf.,0053_megol_m.mp3
54,ér,érni,Ez nagyon sokat ér nekem.,"to be worth, to mean (a lot)",This means a lot to me.,0054_er_m.mp3
55,elmond,elmondani,Holnap elmondom neked a titkomat.,"to tell, to share",Tomorrow I'll tell you my secret.,0055_elmond_m.mp3
56,emlékszik,emlékezni,Jól emlékszem a tegnapi napra.,to remember,I remember yesterday clearly.,0056_emlekszik_m.mp3
57,örül,örülni,Nagyon örülök az ajándéknak.,"to be glad about, to be happy about",I'm very happy about the gift.,0057_orul_m.mp3
58,öl,ölni,A macska gyakran öl egeret.,to kill,The cat often kills mice.,0058_ol_m.mp3
59,ír,írni,Minden reggel írok egy üzenetet.,to write,Every morning I write a message.,0059_ir_m.mp3
60,enged,engedni,Nem engedi a kutyát az ágyra.,"to let, to allow",He doesn't let the dog on the bed.,0060_enged_m.mp3
61,remél,remélni,"Remélem, holnap szép idő lesz.",to hope,I hope the weather will be nice tomorrow.,0061_remel_m.mp3
62,használ,használni,Minden nap használom ezt a szótárt.,to use,I use this dictionary every day.,0062_hasznal_m.mp3
63,megtalál,megtalálni,Végre megtaláltam a kulcsomat a táskában.,to find,I finally found my key in the bag.,0063_megtalal_m.mp3
64,érdekel,érdekelni,Engem nagyon érdekel a magyar történelem.,to be interested in,I am very interested in Hungarian history.,0064_erdekel_m.mp3
65,aggódik,aggódni,Mindig aggódom a vizsga előtt.,to worry,I always worry before the exam.,0065_aggodik_m.mp3
66,megvan,meglenni,"Megvan a kulcsom, mehetünk.",to have (with one),"I have my key, we can go.",0066_megvan_m.mp3
67,ül,ülni,Este a kanapén ülök és olvasok.,to sit,In the evening I sit on the sofa and read.,0067_ul_m.mp3
68,tetszik,tetszeni,Nagyon tetszik ez a piros kabát.,to like (to appeal to),I really like this red coat.,0068_tetszik_m.mp3
69,tehet,tehetni,"Holnap azt teheted, amit akarsz.","can do, to be free to do",Tomorrow you can do whatever you want.,0069_tehet_m.mp3
70,hal,halni,Te is éhen halsz egyszer.,to die (of hunger),You will also starve to death one day.,0070_hal_m.mp3
71,kerül,kerülni,Mennyibe kerül ez a kávé?,to cost,How much does this coffee cost?,0071_kerul_m.mp3
72,történik,történni,Mi történik most odakint?,"to happen, to be going on",What is happening outside right now?,0072_tortenik_m.mp3
73,megtesz,megtenni,Mindent megteszek a sikerért.,to do everything one can,I do everything I can to succeed.,0073_megtesz_m.mp3
74,kérdez,kérdezni,Mindig sokat kérdezek az órán.,to ask (questions),I always ask a lot of questions in class.,0074_kerdez_m.mp3
75,mutat,mutatni,A térképen mutatom az utat.,to show,I am showing the way on the map.,0075_mutat_m.mp3
76,játszik,játszani,A gyerekek délután a parkban játszanak.,to play,The children play in the park in the afternoon.,0076_jatszik_m.mp3
77,végez,végezni,Ma korán végzek a munkával.,"to finish, to be done with",I am finishing work early today.,0077_vegez_m.mp3
78,hallgat,hallgatni,Esténként szívesen hallgatok zenét.,to listen to,In the evenings I enjoy listening to music.,0078_hallgat_m.mp3
79,küld,küldeni,Minden reggel küldök egy üzenetet a barátomnak.,to send,Every morning I send a message to my friend.,0079_kuld_m.mp3
80,számít,számítani,"Mindig számíthatsz rám, ha baj van.","to count on, to rely on",You can always count on me if something goes wrong.,0080_szamit_m.mp3
81,követ,követni,Minden reggel követem a híreket.,to follow (the news),Every morning I follow the news.,0081_kovet_m.mp3
82,eszik,enni,Reggel mindig kenyeret eszem.,to eat,I always eat bread in the morning.,0082_eszik_m.mp3
83,vigyáz,vigyázni,"Vigyázz, nagyon csúszós az út!","to be careful, to watch out","Watch out, the road is very slippery!",0083_vigyaz_m.mp3
84,jut,jutni,Hogyan jutok a pályaudvarra?,"to get (somewhere), to reach",How do I get to the train station?,0084_jut_m.mp3
85,alszik,aludni,Este mindig sokat alszom.,to sleep,I always sleep a lot in the evening.,0085_alszik_m.mp3
86,megért,megérteni,Végre megértettem a feladatot.,"to understand, to figure out",I finally understood the task.,0086_megert_m.mp3
87,ég,égni,A napon gyorsan égek.,"to burn (in the sun), to get sunburned",I burn quickly in the sun.,0087_eg_m.mp3
88,mehet,mehetni,Most már mehetsz haza.,"can go, may go",You can go home now.,0088_mehet_m.mp3
89,szerez,szerezni,Holnap szerzek két jegyet a koncertre.,"to get, to obtain",Tomorrow I'll get two tickets for the concert.,0089_szerez_m.mp3
90,megpróbál,megpróbálni,Holnap megpróbálom megfőzni a levest.,"to try, to attempt",Tomorrow I'll try to cook the soup.,0090_megprobal_m.mp3
91,indul,indulni,Holnap reggel hatkor indulunk a tengerhez.,"to set off, to head out",Tomorrow morning at six we're setting off for the sea.,0091_indul_m.mp3
92,iszik,inni,Reggel mindig kávét iszik.,to drink,He always drinks coffee in the morning.,0092_iszik_m.mp3
93,fizet,fizetni,Mindig kártyával fizetek a boltban.,to pay,I always pay by card at the store.,0093_fizet_m.mp3
94,vezet,vezetni,Minden reggel autót vezetek.,to drive,I drive a car every morning.,0094_vezet_m.mp3
95,sikerül,sikerülni,Végre sikerült megtalálnom a kulcsot.,"to manage, to succeed in",I finally managed to find the key.,0095_sikerul_m.mp3
96,eljön,eljönni,Holnap este eljövök hozzátok vacsorára.,to come over,Tomorrow evening I'll come over to your place for dinner.,0096_eljon_m.mp3
97,működik,működni,A telefonom most jól működik.,"to work, to function",My phone is working well now.,0097_mukodik_m.mp3
98,fogad,fogadni,Ma este vendégeket fogadunk.,"to receive, to host",We're hosting guests tonight.,0098_fogad_m.mp3
99,állít,állítani,"Mindig azt állítja, hogy igaza van.","to claim, to insist",He always claims that he is right.,0099_allit_m.mp3
100,megmond,megmondani,Mindjárt megmondom neked az igazat.,to tell,I'll tell you the truth right now.,0100_megmond_m.mp3
101,nyit,nyitni,Reggel nyolckor nyitom az üzletet.,to open,I open the shop at eight in the morning.,0101_nyit_m.mp3
102,esik,esni,Ma egész nap esik az eső.,to rain / to fall,It is raining all day today.,0102_esik_m.mp3
103,elvisz,elvinni,Holnap elviszlek az állomásra.,to take (someone somewhere),I'll take you to the station tomorrow.,0103_elvisz_m.mp3
104,imád,imádni,Imádom a csokoládét.,to love / to adore,I love chocolate.,0104_imad_m.mp3
105,folyik,folyni,A víz lassan folyik a csapból.,to run / to flow,The water runs slowly from the tap.,0105_folyik_m.mp3
106,felejt,felejteni,Mindig itt felejtem a kulcsomat.,to forget / to leave behind,I always forget my key here.,0106_felejt_m.mp3
107,lép,lépni,Óvatosan lépek a jeges úton.,to step / to tread,I step carefully on the icy road.,0107_lep_m.mp3
108,nyer,nyerni,Tegnap nyertem egy szép könyvet.,to win,Yesterday I won a nice book.,0108_nyer_m.mp3
109,megnéz,megnézni,Este megnézünk egy jó filmet.,to watch / to see,We're going to watch a good film tonight.,0109_megnez_m.mp3
110,hazudik,hazudni,"Néha hazudik, hogy ne legyen baj.",to lie,Sometimes he lies to avoid trouble.,0110_hazudik_m.mp3
111,dönt,dönteni,Holnap döntök az új munkáról.,to decide,Tomorrow I'll decide on the new job.,0111_dont_m.mp3
112,meglát,meglátni,Végre megláttam a tengert!,"to see, to spot",I finally saw the sea!,0112_meglat_m.mp3
113,rájön,rájönni,Végre rájöttem a megoldásra.,"to figure out, to realize",I finally figured out the solution.,0113_rajon_m.mp3
114,bír,bírni,Nem bírom tovább ezt a meleget.,"to stand, to bear",I can't stand this heat any longer.,0114_bir_m.mp3
115,száll,szállni,Holnap repülőre szállunk.,"to board, to get on",Tomorrow we're boarding a plane.,0115_szall_m.mp3
116,utál,utálni,Nagyon utálom a hideg időt.,to hate,I really hate cold weather.,0116_utal_m.mp3
117,elkap,elkapni,Gyorsan elkaptam a labdát.,to catch,I quickly caught the ball.,0117_elkap_m.mp3
118,hangzik,hangzani,Ez a dal nagyon szépen hangzik.,to sound,This song sounds really beautiful.,0118_hangzik_m.mp3
119,hat,hatni,Te jól hatsz rám.,to influence,You have a good influence on me.,0119_hat_m.mp3
120,tölt,tölteni,Sok időt töltök otthon hétvégén.,to spend (time),I spend a lot of time at home on weekends.,0120_tolt_m.mp3
121,tanul,tanulni,Minden este magyarul tanulok otthon.,to study / to learn,Every evening I study Hungarian at home.,0121_tanul_m.mp3
122,megkap,megkapni,Tegnap megkaptam az új telefonomat.,to receive / to get,Yesterday I got my new phone.,0122_megkap_m.mp3
123,olvas,olvasni,Esténként szívesen olvasok egy jó könyvet.,to read,In the evenings I love reading a good book.,0123_olvas_m.mp3
124,tartozik,tartozni,Még tíz euróval tartozom neked.,to owe,I still owe you ten euros.,0124_tartozik_m.mp3
125,folytat,folytatni,Holnap folytatjuk a munkát.,to continue,Tomorrow we will continue the work.,0125_folytat_m.mp3
126,megtud,megtudni,Holnap megtudom az eredményt.,to find out,Tomorrow I will find out the result.,0126_megtud_m.mp3
127,húz,húzni,Most húzom a nehéz bőröndöt.,to drag / to pull,I am dragging the heavy suitcase right now.,0127_huz_m.mp3
128,felhív,felhívni,Holnap reggel felhívom az orvost.,to call / to phone,Tomorrow morning I will call the doctor.,0128_felhiv_m.mp3
129,lő,lőni,Most a nyúlra lövök.,to shoot,I am shooting at the rabbit right now.,0129_lo_m.mp3
130,mesél,mesélni,Esténként mindig mesél a barátainak.,to tell stories,Every evening he tells his friends stories.,0130_mesel_m.mp3
131,képzel,képzelni,Gyakran szebb jövőt képzelek magamnak.,"to imagine, to picture",I often imagine a better future for myself.,0131_kepzel_m.mp3
132,lakik,lakni,Egy kis faluban lakom.,to live,I live in a small village.,0132_lakik_m.mp3
133,szokik,szokni,Reggel kávét szoktam inni.,"to usually do, to tend to do",I usually drink coffee in the morning.,0133_szokik_m.mp3
134,hiányzik,hiányozni,Nagyon hiányzol nekem ma.,to miss (someone),I miss you so much today.,0134_hianyzik_m.mp3
135,tér,térni,Most másik útra térünk.,"to turn (onto), to switch (to)",Now we are turning onto a different road.,0135_ter_m.mp3
136,elfelejt,elfelejteni,Tegnap elfelejtettem a nevedet.,to forget,Yesterday I forgot your name.,0136_elfelejt_m.mp3
137,fáj,fájni,Reggel óta fáj a fejem.,"to hurt, to ache",My head has been hurting since this morning.,0137_faj_m.mp3
138,fordít,fordítani,Minden este angol szöveget fordítok.,to translate,Every evening I translate an English text.,0138_fordit_m.mp3
139,készül,készülni,Holnap egy nehéz vizsgára készülök.,"to prepare (for), to study for",Tomorrow I am preparing for a difficult exam.,0139_keszul_m.mp3
140,siet,sietni,Reggel mindig sietek a munkába.,"to hurry, to rush",I always rush to work in the morning.,0140_siet_m.mp3
141,készít,készíteni,Ma finom levest készítek ebédre.,"to make, to prepare",Today I'm making a delicious soup for lunch.,0141_keszit_m.mp3
142,dob,dobni,A labdát messzire dobom.,to throw,I throw the ball far away.,0142_dob_m.mp3
143,tűz,tűzni,Nyáron a nap erősen tűz délben.,to beat down (of the sun),In summer the sun beats down hard at noon.,0143_tuz_m.mp3
144,elkezd,elkezdeni,Tegnap elkezdtem egy új könyvet.,"to start, to begin",Yesterday I started a new book.,0144_elkezd_m.mp3
145,beszélget,beszélgetni,Esténként szívesen beszélgetünk a teraszon.,"to chat, to talk",In the evenings we love to chat on the terrace.,0145_beszelget_m.mp3
146,válaszol,válaszolni,Mindig gyorsan válaszolok az emailekre.,"to reply, to respond",I always reply to emails quickly.,0146_valaszol_m.mp3
147,megcsinál,megcsinálni,Holnap megcsinálom a házi feladatot.,"to do, to complete",Tomorrow I'll do my homework.,0147_megcsinal_m.mp3
148,válik,válni,Lassan jó barátokká válunk.,to become,We are slowly becoming good friends.,0148_valik_m.mp3
149,zavar,zavarni,"Ne haragudj, zavarlak egy percre?","to bother, to disturb","Sorry, can I bother you for a minute?",0149_zavar_m.mp3
150,fordul,fordulni,Most jobbra fordulunk a sarkon.,to turn,We're turning right at the corner now.,0150_fordul_m.mp3
151,fut,futni,Reggel mindig futok a parkban.,to run / to jog,I always run in the park in the morning.,0151_fut_m.mp3
152,okoz,okozni,A vihar sok kárt okozott tegnap.,to cause / to do (damage),The storm caused a lot of damage yesterday.,0152_okoz_m.mp3
153,választ,választani,Mindig csokoládés fagylaltot választok.,to choose / to pick,I always choose chocolate ice cream.,0153_valaszt_m.mp3
154,vág,vágni,Most vágom a kenyeret.,to cut / to slice,I'm cutting the bread right now.,0154_vag_m.mp3
155,ígér,ígérni,Ígérek neked egy könyvet.,to promise,I promise you a book.,0155_iger_m.mp3
156,visszajön,visszajönni,Holnap visszajövök a könyvért.,to come back / to return,I'll come back tomorrow for the book.,0156_visszajon_m.mp3
157,harcol,harcolni,A katonák bátran harcolnak a háborúban.,to fight / to combat,The soldiers fight bravely in the war.,0157_harcol_m.mp3
158,sír,sírni,Egész éjjel sírtam.,to cry / to weep,I cried all night.,0158_sir_m.mp3
159,elveszt,elveszteni,Tegnap elvesztettem a kulcsomat a parkban.,to lose,Yesterday I lost my key in the park.,0159_elveszt_m.mp3
160,megmutat,megmutatni,Holnap megmutatom neked a várost.,to show,Tomorrow I'll show you the city.,0160_megmutat_m.mp3
161,csúszik,csúszni,Télen gyakran csúszom a jégen.,"to slip, to slide",In winter I often slip on the ice.,0161_csuszik_m.mp3
162,látszik,látszani,A hegyek tisztán látszanak innen.,"to be visible, to be seen",The mountains are clearly visible from here.,0162_latszik_m.mp3
163,téved,tévedni,Néha én is tévedek a számolásban.,"to be wrong, to make a mistake",Sometimes I make mistakes in math too.,0163_teved_m.mp3
164,üt,ütni,Néha ütöm a labdát.,"to hit, to strike",Sometimes I hit the ball.,0164_ut_m.mp3
165,viccel,viccelni,"Csak viccelek, ne haragudj!","to joke, to kid","I'm just kidding, don't be mad!",0165_viccel_m.mp3
166,bánt,bántani,"Ne bánts engem, kérlek!","to hurt, to harm",Please don't hurt me!,0166_bant_m.mp3
167,érkezik,érkezni,A vonat tíz perc múlva érkezik.,to arrive,The train arrives in ten minutes.,0167_erkezik_m.mp3
168,megment,megmenteni,Tegnap megmentette a kutyát a folyóból.,"to save, to rescue",Yesterday he rescued the dog from the river.,0168_megment_m.mp3
169,foglalkozik,foglalkozni,Esténként szívesen foglalkozom a kutyámmal.,"to spend time with, to deal with",In the evenings I enjoy spending time with my dog.,0169_foglalkozik_m.mp3
170,létezik,létezni,Szerintem léteznek földönkívüliek valahol.,to exist,I think aliens exist somewhere.,0170_letezik_m.mp3
171,nevez,nevezni,Minek nevezed ezt magyarul?,"to call, to name",What do you call this in Hungarian?,0171_nevez_m.mp3
172,haragszik,haragudni,Sokszor haragszom a rossz időjárás miatt.,"to get angry, to be angry",I often get angry because of bad weather.,0172_haragszik_m.mp3
173,visel,viselni,Télen mindig meleg sapkát viselek.,to wear,In winter I always wear a warm hat.,0173_visel_m.mp3
174,kedvel,kedvelni,Nagyon kedvelem a kollégáimat.,"to like, to be fond of",I really like my colleagues.,0174_kedvel_m.mp3
175,elhagy,elhagyni,Reggel elhagytam a házat.,to leave,I left the house in the morning.,0175_elhagy_m.mp3
176,elvesz,elvenni,Elvette a jogosítványomat.,to take away,He took away my driver's license.,0176_elvesz_m.mp3
177,megtörténik,megtörténni,Velem is megtörtént ez tegnap.,to happen,This happened to me yesterday too.,0177_megtortenik_m.mp3
178,elér,elérni,Tegnap végre elértem a barátomat telefonon.,"to reach (by phone), to get through to",Yesterday I finally reached my friend by phone.,0178_eler_m.mp3
179,felvesz,felvenni,Reggel gyorsan felveszem a kabátomat.,to put on (clothing),In the morning I quickly put on my coat.,0179_felvesz_m.mp3
180,gondolkodik,gondolkodni,Most a válaszon gondolkodom.,"to think about, to consider",I am thinking about the answer right now.,0180_gondolkodik_m.mp3
181,bízik,bízni,Mindig bízom a barátaimban.,to trust,I always trust my friends.,0181_bizik_m.mp3
182,bán,bánni,Most már nagyon bánom a döntésemet.,to regret,I really regret my decision now.,0182_ban_m.mp3
183,változik,változni,Tavasszal gyorsan változik az időjárás.,to change,"In spring, the weather changes quickly.",0183_valtozik_m.mp3
184,kíván,kívánni,Boldog születésnapot kívánok neked!,to wish,I wish you a happy birthday!,0184_kivan_m.mp3
185,esküszik,esküdni,"Esküszöm, hogy mindig igazat mondok.",to swear,I swear that I always tell the truth.,0185_eskuszik_m.mp3
186,szed,szedni,Reggelente vitamint szedek.,to take,I take vitamins every morning.,0186_szed_m.mp3
187,elintéz,elintézni,Holnap elintézem ezt a dolgot.,"to sort out, to take care of",I'll take care of this tomorrow.,0187_elintez_m.mp3
188,visszatér,visszatérni,Holnap visszatérek a munkába.,"to return, to go back",I'm going back to work tomorrow.,0188_visszater_m.mp3
189,kezdődik,kezdődni,A film este nyolckor kezdődik.,"to start, to begin",The film starts at eight in the evening.,0189_kezdodik_m.mp3
190,árul,árulni,A piacon friss gyümölcsöt árulnak.,to sell,They sell fresh fruit at the market.,0190_arul_m.mp3
